word,definition
fragile,adj. 脆的
comrade,n. 同志
duty,n. 责任
pile,n. 堆
worn,adj. 疲倦的
click,v. 点击
heaven,n. 天堂
attentively,adv. 注意地
hamburger,n. 汉堡包，火腿汉堡
pleased,adj. 高兴的
ouch,n. 扣环 int. 哎哟（突然疼痛时发出的声音）
carpenter,n. 木匠，木工 v. 当木匠，做木匠工作
giraffe,n. 长颈鹿
cycle,n. 循环
caption,n. 标题
twist,v. 捻
prefer,v. 更喜欢
shelf,n. 架子
civilian,adj. 民用的
pull,v. 拉
still,adv. 仍然
wildlife,n. 野生动植物 adj. 野生动植物的
training,n. 训练
harmless,adj. 无害的
lie,v. 躺
spoken,adj. 口语的，口头的 v. 说（speak的过去分词）
native,adj. 本国的
foggy,adj. 有雾的
better,n. 长辈
main,n. 主要部分，要点
meeting,n. 会议
advertisement,n. 广告，宣传
semicircle,n. 半圆，半圆形
pioneer,n. 先锋
paper,n. 纸
officer,n. 军官，警官
millionaire,n. 百万富翁
memorial,n. 纪念碑，纪念馆
envy,n. 嫉妒，妒忌
woo,v. 追求
mountain,n. 山
impress,v. 盖印
association,n. 协会，联盟，社团
package,n. 包，包裹
shark,n. 鲨鱼
sort,n. 种类
ox,n. 牛
nurse,v. 看护，护理
enemy,n. 敌人，仇敌
grasp,n. 抓住
movie,n. 电影
coincidence,n. 巧合
appearance,n. 外貌，外观
garment,n. 衣服，服装
agricultural,adj. 农业的
become,v. 成为
western,adj. 西方的，西部的
want,v. 需要
worry,n. 担心
law,n. 法律
minus,prep. 减，减去 n. 负号，减号
thinking,adj. 思考的
administration,n. 管理
eye,n. 眼睛
marriage,n. 结婚
fifty,n. 五十
broom,n. 扫帚
represent,v. 代表
to,adv. 向前
near,adj. 近的
shabby,adj. 破旧的
glory,n. 光荣，荣誉
effect,n. 影响
liberation,n. 释放，解放
fax,v. 传真 n. 传真
state,n. 国家
friendly,adj. 友好的
forward,adj. 向前的
exchange,n. 交换
suppose,v. 假设
generous,adj. 慷慨的，大方的
hers,pron. 她的（所有格） n. (Hers)人名
explain,v. 说明
valid,adj. 有效的
tie,v. 系
then,adv. 然后
sew,v. 缝合，缝上
desperate,adj. 不顾一切的
steak,n. 牛排
British,adj. 英国的
sailor,n. 水手，海员
wear,n. 衣物
postage,n. 邮资，邮费
presentation,n. 展示
wet,adj. [气象][物] 潮湿的
avoid,v. 避免
pity,n. 怜悯，同情
arrangement,n. 布置
among,prep. 在…中间
author,n. 作者
mommy,n. 妈咪
theft,n. 盗窃
bathe,v. 沐浴
assistant,n. 助手，助理，助教 adj. 辅助的，助理的
battle,n. 战役
beancurd,n. 豆腐
front,n. 前面
work,n. 工作
blackboard,n. 黑板
washroom,n. 洗手间
legal,adj. 法律的
fill,v. 装满，使充满
crime,n. 罪行，犯罪
fifteen,n. 十五
indeed,adv. 的确
clever,adj. 聪明的
refuse,n. 垃圾
whichever,pron. 任何一个
leftover,n. 残留物
base,n. 基础
action,n. 行动
catholic,adj. 天主教的
succeed,v. 成功
track,n. 轨道
few,adj. 很少的
city,n. 城市，都市 adj. 城市的
Sunday,n. 星期日
pet,n. 宠物
into,prep. 到…里
defeat,v. 击败，战胜
teenager,n. 十几岁的青少年
jeep,n. 吉普车
ample,adj. 丰富的
mirror,n. 镜子
typist,n. 打字员，打字者
stadium,n. 体育场
substitute,n. 代用品
carve,v. 雕刻
electrical,adj. 有关电的
yell,v. 大叫，叫喊 n. 喊声，叫声
wide,adj. 广泛的
grape,n. 葡萄
resign,v. 辞职
percentage,n. 百分比
stout,adj. 结实的
final,adj. 最终的
certain,adj. 某一
discourage,v. 阻止
strict,adj. 严格的
visual,adj. 视觉的，视力的
those,adj. 那些的 pron. 那些（that的复数）
needle,n. 针
car,n. 汽车
put,v. 放
circumstance,n. 环境，情况
without,prep. 没有
mend,v. 修理，修补
arithmetic,n. 算术，算法
smart,adj. 聪明的
fade,v. 褪色
attain,v. 达到，实现
Greek,n. 希腊语
smile,v. 微笑 n. 微笑
eventually,adv. 最后，终于
fortune,n. 财富
purpose,n. 目的
tense,adj. 紧张的
bridge,n. 桥
lemonade,n. 柠檬水
stranger,n. 陌生人
liberate,v. 解放
librarian,n. 图书馆员
club,n. 俱乐部，社团
suspect,n. 嫌疑犯 adj. 可疑的
tin,n. 锡
proper,adj. 适当的
greeting,n. 问候，招呼
discount,n. 折扣
delay,v. 延期
wheel,n. 车轮
time,n. 时间
hit,v. 打击
leather,n. 皮革
correction,n. 改正，修正
twelve,n. 十二
exact,adj. 准确的，精密的
it,pron. [指无生命的东西、动物、植物]它
fisherman,n. 渔夫
know,v. 知道
pension,n. 退休金，抚恤金
ourselves,pron. 我们自己
eleven,n. 十一
let,v. 允许，让
good,adj. 好的
unfortunate,adj. 不幸的
news,n. 新闻，消息
watch,v. 观察
agreement,n. 协议
deposit,n. 存款
determine,v. （使）下决心，（使）做出决定
Mexican,adj. 墨西哥的
modem,n. 调制解调器（等于modulator-demodulator）
salad,n. 色拉
contrary,adj. 相反的
education,n. 教育
cheer,v. 欢呼
shout,v. 呼喊
pardon,n. 原谅
nice,adj. 精密的
purchase,n. 购买
owe,v. 欠
awake,v. 觉醒，意识到
everywhere,adv. 到处 n. 每个地方
fair,adj. 公平的
Ireland,n. 爱尔兰
pick,v. 挑选
organiser,n. 组织者
young,adj. 年轻的
chef,n. 厨师，大师傅
roller,n. [机] 滚筒
weekend,n. 周末，周末休假
video,n. [电子] 视频
appoint,v. 任命
lady,n. 女士，夫人
slice,n. 薄片
favour,n. 偏爱
Arctic,adj. 北极的
pulse,n. [电子] 脉冲
tune,n. 曲调
foreign,adj. 外国的
funeral,n. 葬礼
compete,v. 竞争
gallon,n. 加仑（容量单位）
conduct,v. 导电
worth,adj. 值…的 n. 价值
discovery,n. 发现，发觉
centre,v. 以…为中心 n. 中心 adj. 中央的
abrupt,adj. 生硬的
hot,adj. 热的
solar,adj. 太阳的
clothing,n. （总称）[服装] 服装
emergency,n. 紧急情况
abandon,n. 放任
sheep,n. 羊，绵羊
computer,n. 计算机
traditional,adj. 传统的
plus,n. 正号，加号
band,n. 带，环
document,n. 文件，公文
gate,n. 大门
drum,v. 击鼓
library,n. 图书馆，藏书室
nutrition,n. 营养，营养学
may,aux. 可以，能够
shake,v. 动摇
worthwhile,adj. 值得做的，值得花时间的
quilt,n. 被子
myself,pron. 我自己
tease,v. 取笑
book,n. 书籍
modern,adj. 现代的，近代的
sorry,adj. 遗憾的
parallel,n. 平行线
evident,adj. 明显的
snack,n. 小吃，快餐
possibly,adv. 可能地
your,pron. 你的，你们的
authority,n. 权威
northern,adj. 北部的
by,prep. 通过
following,adj. 下面的
seashell,n. 海贝，贝壳
pair,n. 一对，一双，一副 v. 把…组成一对
explore,v. 探索
partner,n. 伙伴
spread,v. 传播
Swiss,adj. 瑞士的
microscope,n. 显微镜
monument,n. 纪念碑
slow,adj. 慢的
worse,adj. 更坏的
particular,adj. 特别的
bid,v. 投标
battery,n. [电] 电池，蓄电池
tape,n. 胶带
later,adv. 后来
envelope,n. 信封，封皮
short,adj. 短的
insect,n. 昆虫
might,n. 力量
zone,n. 地带
paint,v. 油漆
spring,n. 春天
personally,adv. 亲自地
directory,n. [计] 目录
up,adv. 起来
warehouse,n. 仓库
freeway,n. 高速公路
that,pron. 那
again,adv. 又，此外
digital,adj. 数字的
random,adj. [数] 随机的
maximum,n. [数] 极大，最大限度
horse,n. 马
monkey,n. 猴子
flight,n. 飞行
coin,v. 铸造（货币）
willingness,n. 乐意
pork,n. 猪肉 vt. 与女子性交
abolish,v. 废除，废止
flood,v. 淹没
react,v. 反应
offer,v. 提供
bend,v. 使弯曲
constant,adj. 不变的
guilty,adj. 有罪的
web,n. 网
description,n. 描述，描写
fear,n. 害怕
choose,v. 选择，决定
prisoner,n. 囚犯，犯人
towel,n. 毛巾，手巾
tiny,adj. 微小的
tension,n. 张力，拉力
cover,v. 包括
tree,n. 树
founding,adj. 创办的
wonderful,adj. 极好的，精彩的，绝妙的
position,n. 位置，方位
yard,n. 院子
else,adv. 其他
expand,v. 扩张
mm,abbr. 毫米（millimeter） n. 缅甸的域名
country,n. 国家，国土
below,adv. 在下面，在较低处
press,v. 压
saucer,n. 茶托，浅碟
literature,n. 文学
meanwhile,adv. 同时，其间 n. 其间，其时
ridiculous,adj. 可笑的
least,adj. 最小的
packet,n. 数据包，信息包
failure,n. 失败
apartment,n. 公寓
conscience,n. 道德心，良心
running,n. 运转
worldwide,adj. 全世界的 adv. 在世界各地
on,adv. 向前地
appendix,n. 附录
Canada,n. 加拿大（北美洲国家）
parent,n. 父亲（或母亲）
kill,v. 杀死
frighten,v. 使惊吓
unsafe,adj. 不安全的
term,n. 术语
bureaucratic,adj. 官僚的
gown,n. 长袍，长外衣
crazy,adj. 疯狂的
outward,adj. 向外的
exploit,v. 开发，开拓
divide,v. 划分
line,n. 路线，航线
bag,n. 袋
sail,v. 航行
untrue,adj. 不真实的
reading,n. 阅读，朗读
toward,prep. 向
discrimination,n. 歧视
interval,n. 间隔
outgoing,adj. 对人友好的，开朗的
subtraction,n. [数] 减法
kid,n. 小孩
singer,n. 歌手，歌唱家
hire,n. 雇用，租用
Scottish,adj. 苏格兰的
deadline,n. 截止期限，最后期限
rob,v. 抢劫
April,n. 四月
truck,n. 卡车
gallery,n. 画廊
stove,n. 火炉
Pacific,adj. 太平洋的 n. 太平洋
ripen,v. 使成熟
glad,adj. 高兴的
inch,n. 英寸
teach,v. 教
sausage,n. 香肠
northeast,adj. 东北的
insurance,n. 保险
messy,adj. 凌乱的，散乱的
countryside,n. 农村，乡下
teapot,n. 茶壶
staff,n. 职员
canteen,n. 食堂，小卖部
touch,v. 接触
are,v. 是（be的第二人称单复数现在式） n. 公亩
fairness,n. 公平
report,n. 报告
neck,n. 脖子
member,n. 成员
constitution,n. 宪法
pass,n. 及格
medical,adj. 医学的
jam,n. 果酱
behalf,n. 代表
govern,v. 管理
cross,n. 交叉，十字
fifth,adj. 第五的
dawn,n. 黎明
diverse,adj. 不同的
someone,pron. 有人，某人
skateboard,n. 溜冰板 v. 用滑板滑行
wish,n. 希望
smell,v. 嗅，闻
matter,n. 物质
barbecue,n. 烤肉
aside,adv. 离开，撇开
appreciate,v. 欣赏
lake,n. 湖
my,pron. 我的 int. 哎呀（表示惊奇等）
plate,n. 碟
approximately,adv. 大约，近似地
diet,n. 饮食
way,n. 方法
diamond,n. 钻石，金刚石
remain,v. 保持
aircraft,n. 飞机，航空器
curtain,n. 幕
dig,v. 挖，掘
Scotland,n. 苏格兰
age,n. 年龄
bamboo,n. 竹，竹子 vt. 为…装上篾条 adj. 竹制的
arch,n. 弓形，拱形
poet,n. 诗人
fan,v. 煽动
breast,n. 乳房，胸部
sleeve,n. [机] 套筒，[机] 套管
mentally,adv. 精神上，智力上
power,n. 力量，能力
via,prep. 渠道，通过
tick,v. 标记号于
relax,v. 放松，休息
drawing,n. 图画
rough,adj. 粗糙的
systematic,adj. 系统的
barber,v. 为…理发
trouble,n. 麻烦
male,adj. 男性的
production,n. 成果
down,adv. 向下，下去
liquid,adj. 液体的
adolescence,n. 青春期
neighbour,n. n邻居
potential,n. 潜能
first,adv. 第一
diagram,n. 图表
memory,n. 记忆，记忆力
unhappy,adj. 不快乐的
distant,adj. 遥远的
fence,n. 栅栏
crowd,n. 群众,一伙
function,n. 功能
bird,n. 鸟
classify,v. 分类
explicit,adj. 明确的
lightning,adj. 闪电的
step,n. 步，脚步
jog,v. 慢跑
already,adv. 已经，早已
night,n. 夜晚，晚上
drawer,n. 抽屉
wooden,adj. 木制的
accessible,adj. 易接近的
passive,adj. 被动的，消极的
wonder,n. 惊奇
ought,aux. 应该，应当
transform,v. 改变，使…变形
defend,v. 辩护
kilometre,n. [计量] 公里
talk,v. 说
girl,n. 女孩
ambassador,n. 大使
grass,n. 草
billion,n. 十亿
summary,adj. 简易的
Moslem,adj. 穆斯林的
wire,n. 电线
morning,n. 早晨
depend,v. 依赖，依靠
fold,v. 折叠
precise,adj. 精确的
quick,n. 核心
conference,n. 会议
instead,adv. 代替
Canadian,adj. 加拿大（人）的 n. 加拿大人
properly,adv. 适当地
absolute,adj. 绝对的
example,n. 例子
bill,n. [法] 法案
since,conj. 因为
almost,adv. 差不多，几乎
marry,v. 嫁
adore,v. 崇拜
starvation,n. 饿死
handful,n. 少数
porridge,n. 粥，糊
jet,n. 喷射，喷嘴
volleyball,n. 排球
draft,n. 汇票
festival,n. 节日
alarm,n. 闹钟
sharp,adj. 急剧的
regular,adj. 定期的
application,n. 应用
republic,n. 共和国
rubbish,n. 垃圾，废物
heavy,adj. 沉重的
drown,v. 淹没
quality,n. 质量，[统计] 品质
catalogue,n. 目录
cube,n. 立方
wrinkle,n. 皱纹 v. 起皱
bookshop,n. 书店
eat,v. 吃，喝
egg,n. 蛋
highway,n. 公路，大路
white,adj. 白色的
pencil,n. 铅笔
weigh,v. 权衡
abuse,n. 滥用
tiger,n. 老虎
TRUE,adj. 真实的
eighty,n. 八十
sickness,n. 疾病
spiritual,n. 圣歌（尤指美国南部黑人的） adj. 精神的，心灵的
I,pron. 我 n. 碘元素
blank,adj. 空白的
through,prep. 通过
boycott,v. 联合抵制
harmony,n. 协调
aunt,n. 阿姨
fuel,v. 得到燃料 n. 燃料
Paris,n. 巴黎（法国首都）
frost,v. 结霜于
central,adj. 中心的
farmer,n. 农夫，农民
vote,n. 投票，选举
ruin,n. 废墟
England,n. 英格兰
helmet,n. 钢盔，头盔
the,art. 这
seaside,n. 海边
perfect,adj. 完美的
airport,n. 机场
flee,v. 逃走
housewife,n. 家庭主妇
fight,v. 打架
piece,n. 块
breath,n. 呼吸，气息
ownership,n. 所有权
plane,n. 飞机
fluent,adj. 流畅的，流利的
gun,n. 枪支
Indian,adj. 印度的
bad,adj. 坏的
boy,n. 男孩
howl,v. 咆哮
doll,n. 洋娃娃
yellow,adj. 黄色的
settler,n. 移居者
unwilling,adj. 不愿意的
bridegroom,n. 新郎
favourite,adj. 特别受喜爱的 n. 特别喜爱的人（或物）
delicious,adj. 美味的
stage,n. 阶段
academic,adj. 学术的
rainbow,n. 彩虹
interview,n. 接见，采访
income,n. 收入，收益
flag,v. 标记
spaceship,n. [航] 宇宙飞船
deed,n. 行动
pain,n. 疼痛
fox,v. 欺骗
penny,n. （美）分
around,adv. 大约
grandma,n. 奶奶
read,v. 阅读
granddaughter,n. 孙女
trade,n. 贸易，交易
European,adj. 欧洲的
mat,n. 垫
wine,n. 酒，葡萄酒
physician,n. [医] 医师
hillside,n. 山坡，山腹
Britain,n. 英国
hero,n. 英雄
plan,n. 计划
mourn,v. 哀悼
engineer,n. 工程师
spend,v. 度过，消磨（时光）
bread,n. 面包
interpreter,n. 解释者
operate,v. 运转
affect,v. 影响
bike,n. 自行车
sacred,adj. 神的
means,n. 手段
tire,v. 疲劳
marble,n. 大理石
ferry,n. 渡船
break,v. 打破
natural,adj. 自然的
letter,n. 信
extreme,adj. 极端的
disappointment,n. 失望
kitchen,n. 厨房
consideration,n. 考虑
merchant,n. 商人，批发商
jewelry,n. 珠宝
status,n. 地位
homework,n. 家庭作业，课外作业
autumn,n. 秋天
forever,adv. 永远
selfish,adj. 自私的
athlete,n. 运动员，体育家
before,prep. 在…之前，先于 adv. 以前
itself,pron. 它自己
role,n. 角色
family,n. 家庭
victim,n. 受害人
worm,n. 虫，蠕虫
shopkeeper,n. 店主，老板
wedding,n. 婚礼，婚宴
classical,adj. 古典的
surplus,n. 剩余
steep,adj. 陡峭的
woollen,adj. 羊毛制的 n. 毛织品
of,prep. 关于
fibre,n. 纤维
tasteless,adj. 无味的
dog,n. 狗
sensitive,adj. 敏感的
junior,adj. 年少的
translator,n. 译者
adventure,n. 冒险
qualification,n. 资格
planet,n. 行星
ugly,adj. 丑陋的
history,n. 历史，历史学
house,n. 住宅
surface,n. 表面
devote,v. 致力于
aid,n. 援助
component,adj. 组成的，构成的 n. 成分
generation,n. 一代
edge,n. 边缘
organ,n. [生物] 器官
federal,adj. 联邦的
alive,adj. 活着的
top,n. 顶部，顶端
minority,n. 少数民族
have,v. 有
notice,n. 通知，布告
tower,n. 塔
actress,n. 女演员
enthusiastic,adj. 热情的
loose,adj. 宽松的
adequate,adj. 充足的
lock,v. 锁，锁上
blood,n. 血，血液
birthplace,n. 出生地
navy,n. 海军
American,n. 美国人，美洲人
problem,n. 难题
shall,aux. 应
for,prep. 为，为了
cordless,n. 不用电线的 adj. 无线的（副词cordlessly）
pleasure,n. 快乐
appointment,n. 任命
would,aux. 将，将要
grandchild,n. 孙子
window,n. 窗
redirect,v. 使改方向
niece,n. 外甥女，侄女
coal,v. 上煤
mainland,n. 大陆
mother,n. 母亲
chaos,n. 混沌，混乱
polite,adj. 有礼貌的，客气的
entertainment,n. 娱乐
personnel,n. 人事部门
circle,n. 循环，周期
Chinese,n. 中文，汉语
Monday,n. 星期一
save,v. 节省
collar,n. 衣领
dot,n. 点，圆点
coach,n. 教练
nuclear,adj. 原子能的
voice,n. 声音
select,v. 挑选
thunder,n. 雷
ancestor,n. 始祖，祖先
tend,v. 趋向，倾向
bowl,n. 碗
pretend,v. 假装，伪装，佯装 adj. 假装的
majority,n. 多数
minute,n. 分，分钟
weather,n. 天气
suggestion,n. 建议
sunrise,n. 日出
alike,adj. 相似的
district,n. 区域
compulsory,adj. 义务的
Tibet,n. 西藏（中国一自治区）
lay,v. 躺下
stomach,n. 胃
damage,n. 损害
cough,n. 咳嗽，咳嗽声
shut,v. 关闭
anniversary,n. 周年纪念日
coat,n. 外套 v. 覆盖…的表面
ham,n. 火腿
depth,n. [海洋] 深度
somebody,n. 大人物
requirement,n. 要求
guard,n. 守卫
superman,n. 超人，能力非凡的
artist,n. 艺术家
prove,v. 证明
cry,v. 叫喊
lunch,n. 午餐 v. 吃午餐
fourth,adj. 第四的，第四个的
tractor,n. 拖拉机
entire,adj. 全部的，整个的
bare,adj. 空的
guess,v. 猜测
outside,adj. 外面的，外部的
absent,adj. 缺席的
firewood,n. 柴火
our,pron. 我们的
Iceland,n. 冰岛（欧洲岛名，在大西洋北部，近北极圈）
ecology,n. 生态学
religion,n. 宗教
participate,v. 参与，参加
unusual,adj. 不寻常的
gravity,n. 重力，地心引力
dust,n. 灰尘
science,n. 科学
money,n. 钱
ship,v. 运送，乘船
precious,adj. 宝贵的
today,adv. 今天
overlook,v. 忽略
hang,v. 悬挂，垂下
ticket,n. 票
Mosquito,n. 蚊子
repairs,n. 修理
dormitory,n. 宿舍，学生宿舍 adj. 住宅区的
write,v. 写，写字
seat,n. 座位
wander,v. 徘徊
tentative,adj. 试验性的，暂定的
eighteen,n. 十八，十八个 adj. 十八个的，十八的 num. 十八
hold,v. 持有
habit,n. 习惯，习性
future,n. 未来
independent,adj. 独立的
subject,n. 主题
say,v. 讲
target,n. 目标
disease,n. 病，[医] 疾病
death,n. 死
ago,adv. 以前，以往 adj. 以前的
shore,v. 支撑，使稳住
obey,v. 服从，听从
thankful,adj. 感谢的
restaurant,n. 餐馆
awesome,adj. 令人敬畏的
decorate,v. 装饰
judgement,n. 意见
congratulation,n. 祝贺
appropriate,adj. 适当的
assessment,n. 评定
supper,n. 晚餐，晚饭
bent,n. 爱好，嗜好 adj. 弯曲的
they,pron. 他们
move,n. 移动
eagle,n. 鹰
common,adj. 共同的
customer,n. 顾客
cast,v. 投，抛
million,n. 百万
custom,n. 习惯，惯例
extra,adv. 特别地，非常
ash,n. 灰
evaluate,v. 评价
suit,v. 适合
servant,n. 仆人，佣人
Wednesday,n. 星期三
after,adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
attempt,n. 企图，试图
retire,v. 退休
return,v. 返回
celebrate,v. 庆祝
switch,v. 转换
cure,v. 治疗
primary,adj. 主要的
keep,v. 保持
pyramid,n. 金字塔
afford,v. 给予，提供
cut,n. 伤口
ban,v. 禁止，取缔 n. 禁令，禁忌
tablet,n. 碑
head,n. 头
foreigner,n. 外地人，外国人
willing,adj. 乐意的
mineral,n. 矿物
shade,n. 树荫
various,adj. 各种各样的
poem,n. 诗
above,prep. 超过
dinosaur,n. 恐龙
valuable,adj. 有价值的
swallow,v. 忍受
blue,n. 蓝色
teamwork,n. 团队合作
wax,n. 蜡
tyre,vt. 装轮胎于 n. [橡胶] 轮胎
hour,n. 小时
battleground,n. 战场
sometimes,adv. 有时，间或
mud,v. 弄脏
office,n. 办公室
leg,n. 腿
melon,n. 瓜
race,n. 属，种
optional,adj. 可选择的，随意的 n. 选修科目
stop,v. 停止
dustbin,n. 垃圾箱
screen,n. 屏，幕
stocking,n. 长袜
flat,adj. 平的
alone,adj. 独自的
print,n. 印刷业
die,v. 死亡
mouse,n. 鼠标
space,n. 空间
early,adj. 早期的
athletic,adj. 运动的，运动员的
cubic,adj. 立方体的，立方的 n. (Cubic)人名
secret,n. 秘密
bush,n. 灌木
calculate,v. 计算
super,adj. 特级的
people,n. 人
brake,v. 刹车 n. 闸，刹车
side,n. 方面
safety,n. 安全
snowball,n. 雪球 v. 掷雪球
address,v. 演说
store,n. 商店
institution,n. 制度
neat,adj. 灵巧的
laughter,n. 笑
schoolbag,n. 书包
clap,v. 鼓掌，拍手
wall,n. 墙壁，围墙
duck,n. 鸭子
download,v. [计] 下载
pine,v. 渴望，痛苦
agree,v. 同意，赞成
remember,v. 记得
large,adj. 大的
curious,adj. 好奇的，有求知欲的
day,n. 一天
motorcycle,n. 摩托车
jeans,n. 牛仔裤
busy,adj. 忙碌的
astonish,v. 使惊讶
cotton,n. 棉花
tax,v. 向…课税
juicy,adj. 多汁的
apply,v. 申请
aggressive,adj. 侵略性的
canal,n. 运河
achieve,v. 取得
straight,adj. 直的
shoulder,n. 肩，肩膀
bitter,adj. 苦的
growth,n. 增长
volunteer,n. 志愿者
lip,n. 嘴唇
representative,adj. 典型的，有代表性的
same,adj. 相同的
southern,adj. 南的
daylight,n. 白天
symphony,n. 交响乐
watermelon,n. 西瓜
smoking,n. 抽烟
clinic,n. 临床
model,n. 模型
partly,adv. 部分地
painter,n. 画家
purse,n. (女士)手提袋
characteristic,adj. 典型的
skin,n. 皮肤
train,n. 火车
vivid,adj. 生动的
operation,n. 操作
check,v. 检查，核对
alcoholic,adj. 酒精的，含酒精的 n. 酒鬼，酗酒者
button,n. 按钮
salesgirl,n. 女售货员，女店员
roast,v. 烤，焙
communist,n. 共产党员
give,v. 给
scar,v. 伤害
found,v. 创立，建立
handkerchief,n. 手帕
acquisition,n. 获得物，获得
cloth,n. 布
single,adj. 单一的
latter,adj. 后者的
patient,adj. 有耐心的，能容忍的 n. 病人
Mexico,n. 墨西哥
paperwork,n. 文书工作
appetite,n. 食欲
dish,n. 盘
tap,v. 轻敲
Buddhism,n. 佛教
come,v. 来
university,n. 大学
bed,n. 床
Egypt,n. 埃及（非洲国家）
necklace,n. 项链
unemployment,n. 失业
football,n. 足球，橄榄球 vi. 踢足球
ahead,adj. 向前
impression,n. 印象
buy,v. 购买
spit,v. 吐痰
across,prep. 穿过
no,adv. 不 adj. 没有
announce,v. 宣布
fare,v. 经营
possible,adj. 可能的
bay,n. 海湾
quarter,n. 四分之一
bang,n. 刘海
stubborn,adj. 顽固的
extremely,adv. 非常，极其
cost,v. 花费
cheese,n. [食品] 奶酪
straightforward,adj. 简单的
traveler,n. 旅行者
international,n. 国际组织
acute,adj. 严重的，[医] 急性的
gentle,adj. 温和的
imagine,v. 想像
raincoat,n. （美）雨衣
humorous,adj. 诙谐的，幽默的
gruel,vt. 使极度疲劳
fine,adj. 好的
quit,v. 离开
ant,n. 蚂蚁
squeeze,v. 挤
elephant,n. 象
pest,n. 害虫
separate,v. 使分离
telegram,n. 电报 vt. 用电报发送 vi. 发电报
pronounce,v. 发音
electronic,adj. 电子的 n. 电子电路
jump,n. 跳跃
lot,n. 份额
deliberately,adv. 故意地
sculpture,n. 雕塑
steal,v. 剽窃
miniskirt,n. 超短裙
research,n. 研究
refrigerator,n. 冰箱，冷藏库
round,n. 圆
casual,adj. 随便的
cancel,v. 取消
he,n. 男孩，男人
colleague,n. 同事，同僚
whether,conj. 是否
live,adj. 活的
beyond,prep. 超过
ill,adj. 生病的
skate,v. 滑冰
herb,n. 香草，药草
recent,adj. 最近的
discuss,v. 讨论
silent,adj. 沉默的
kind,n. 种类
badly,adv. 非常，很
contradictory,adj. 矛盾的
shower,n. 淋浴
aspect,n. 方面
