word,definition
comment,n. 评论
major,adj. 主要的 v. 主修
option,n. 选择
socialize,v. 交往，联谊
bureau,n. 局
budget,n. 预算 v. 编预算
pop,v. 突然出现，跳出
position,n. 职位
unaffordable,adj. 买不起的，负担不起的
function,n. 功能 v. 运行
perceive,v. 察觉
reserve,v. 留出，预定
innovation,n. 改革，创新
alert,v. 提醒
cautious,adj. 谨慎的
document,n. 文件
characterize,v. 以……特点
achieve,v. 完成，实现
address,v. 解决
inspiration,n. 灵感
agency,n. 机构
formulate,v. 规定，制定
fate,n. 命运
surf,v. 冲浪
steer,v. 驾驶
structure,n. 结构
architect,n. 建筑师
frame,n. 框架
amaze,v. 使吃惊
affirmation,n. 断言，肯定
intelligent,adj. 有智慧的，聪明的，悟性强的
code,n. 代码，密码
burden,n. 重担，负担
absorb,v. 吸收（液体、气体等）
instruction,n. 用法说明
admission,n. 承认
additional,adj. 额外的
prejudice,n. 偏见 v. 使有偏见，使有成见
process,n. 过程，进程
elegant,adj. 优雅的
hospitable,adj. 热情友好的
refreshing,adj. 恢复活力的
ensure,v. 确保
frighten,v. 使惊恐，使恐慌
civilized,adj. 文明的
approval,n. 批准，认可
publicize,v. 宣布
resident,n. 居民
considerate,adj. 体贴的
twist,v. 扭曲，使弯曲
citizen,n. 市民，城镇居民
stake,n. 风险
keenly,adv. 敏锐地
superficial,adj. 肤浅的
flexibility,n. 灵活性
favorable,adj. 赞同的
competent,adj. 胜任的，有能力的
emotional,adj. 情绪(上)的，情感(上)的
pioneer,v. 开拓，开发
sustain,n. 维持
gloomy,adj. 阴沉的，沮丧的
convince,v. 使相信
profitable,adj. 有利可图的，有益的
routinely,adv. 例行公事地
phenomenon,n. 现象
variety,n. 多样
gum,n. 牙龈
criticism,n. 批评
fatal,adj. 致命的，攸关的
delightful,adj. 高兴的
tedious,adj. 单调沉闷的
flexible,adj. 灵活的
considerably,adv. 相当地，非常地
efficiently,adj. 有效地
appearance,n. 外表, 外观
album,n. 粘贴簿，集邮簿，册
optimistic,adj. 乐观的
clue,n. 线索
grief,n. 悲伤
synthetic,adj. 合成的，人造的
resistance,n. 抵御，抵抗
install,v. 安装
pledge,n. 保证，誓言
unique,adj. 独特的，唯一的
stock,n. 股票
disadvantage,n. 不利情况，缺点
compensate,v. 弥补，补偿
rescue,v. 营救，援救
monitor,v. 监控
refusal,n. 拒绝
exile,n. 流放，放逐
encourage,v. 鼓励
concept,n. 观点，观念
render,v. 给予
trait,n. 性格
feature,n. 特点
reframe,v. 再构造(图画、照片等)
identify,v. 认出，识别
impose,v. 强加
snack,n. 零食，小吃
require,v. 要求，命令
donation,n. 捐赠
equal,adj. 相等的，平等的
rare,adj. 罕有的，少见的
specify,v. 指定，具体说明
constant,adj. 不断的，持续的
standardize,v. 使标准化
consume,v. 消费，消耗
status,n. 地位
complement,v. 补充
lengthy,adj. 长的，漫长的
embarrassed,adj. 尴尬的
rational,adj. 神智清楚的
distant,adj. 遥远的
homemaker,n. 主妇
exception,n. 例外
sustainable,adj. 可持续的
trigger,v. 引发，引起
intend,v. 打算
spread,v. 扩散
estimate,v. 估计
technique,n. 技巧，手艺
include,v. 包含
academic,adj. 学术的
distinctive,adj. 独特的，与众不同的
consist,v. 由……组成
bid,n. 出价，投标 v. 出价，投标
benefit,v. 有益于，有助于
downsize,v. 裁员
avoid,v. 避免
gender,n. 性别
interracial,adj. 种族间的
complaint,n. 抱怨
pattern,n. 模式
mood,n. 心情
sympathy,n. 同情心
discount,n. 折扣
value,v. 重视
altitude,n. 海拔, 高度
groundsheet,n. 防潮布
evolutionary,adj. 进化的
implement,v. 实施，执行
dominant,adj. 占优势的
scope,n. 范围
suspect,v. 怀疑，猜想 n. 嫌疑犯
confrontation,n. 冲突，对抗
puzzle,v. 迷惑 n. 难解之事，谜
critic,n. 批评家，评论家
apartment,n. 公寓
analyze,v. 分析
maintain,v. 维持
curb,v. 控制 n. 控制
version,n. 版本
rival,n. 对手
beneficial,adj. 有利的，有益的
substantial,adj. 大量的
recover,v. 恢复
diploma,n. 文凭
carpenter,n. 木匠
circumstance,n. 环境，境遇
canteen,n. 食堂
advocator,n. 主张者，倡导者
disorderly,adj. 杂乱的
essentially,adv. 本质上，根本上
prevent,v. 预防
ceremony,n. 典礼，仪式
assume,v. 假定，认为
demand,n. 需求，要求 v. 要求
principle,n. 原则，原理
reception,n. 接待
transfer,v. 转换，调换 n. 转换，调换
preventable,adj. 可预防的
anticipate,v. 预感
assumption,n. 假定，假设
prescription,n. 处方
evolution,n. 演变，进化
annoy,v. 使反感，厌烦
unintended,adj. 意想不到的
origin,n. 起源
qualify,v. 使……有资格
emergence,n. 出现，发生
complain,v. 抱怨
merit,n. 优点，成绩 v. 值得
forum,n. 论坛
arrange,v. 安排，筹划
determination,n. 意志
bargain,n. 便宜货，减价品
appetite,n. 欲望, 胃口
neutral,adj. 中立的
primitive,adj. 原始的
therapy,n. 疗法 治疗
conscience,n. 良心
define,v. 确定
creativity,n. 创造力
tailor,v. 调整使适应
dramatically,adv. 戏剧性地，引人注目地
panic,n. 惊恐
motivation,n. 激励，刺激
durable,adj. 持久的，耐用的
remedy,n. 药物
inevitable,adj. 不可避免的
diverse,adj. 各种各样的
context,n. 背景，环境
prominent,adj. 杰出的
witness,n. 目击者，目击
save,v. 节省
inherit,v. 继承
occasion,n. 场合
initiative,n. 主动权，自主权
insight,n. 洞察力，洞悉
misguided,adj. 被误导的
sponsor,v. 赞助
porter,n. 搬运工
loyalty,n. 忠诚，忠实
overwhelming,adj. 压倒性的
appreciation,n. 感激
setting,n. 背景，环境
display,n. 展览 v. 展览
deliver,v. 发表
astonish,v. 使惊讶，使大为吃惊
adequate,adj. 足够的
consumption,n. 消费，消耗
abuse,v. 虐待
broad,adj. 宽的
inappropriate,adj. 不合适的
worldwide,adv. 全世界范围地
strict,adj. 严格的
means,n. 方法
reveal,v. 揭露，揭示
confirm,v. 证实
consensus,n. 一致意见
agent,n. 代理商
neighborhood,n. 地区
participate,v. 参与，参加
valid,adj. 有效的
initially,adv. 最初，起初
slightly,adv. 轻微地
objection,n. 反对
atmosphere,n. 气氛
assign,v. 布置
evidence,n. 根据，证据，迹象
racially,adv. 种族上地
exclude,v. 排除，不包括
available,adj. 可利用的，现有的
puzzling,adj. 令人困惑的
evaluation,n. 评价，评估
irritate,v. 激怒
distinguished,adj. 显著的，杰出的
depressing,adj. 令人沮丧的
mutually,adv. 互相地
mission,n. 使命，任务
migration,n. 迁移，移民
site,n. 场所，地址
expectation,n. 期望
update,v. 更新
gear,n. 齿轮 v. 使合适
reproductive,adj. 生殖的，再生的
incredible,adj. 不可思议的
backward,adv. 向后
raise,v. 提高
prohibit,v. 禁止，阻止，防止
bother,v. 麻烦
pose,v. 摆姿势，装腔作势 n. 姿势
instrument,n. 仪器，器械，工具
mask,v. 掩饰
essential,adj. 必须的
harvest,n. 丰收，收获
reject,v. 拒绝，驳回
advancement,n. 进步，提升
skyrocket,v. 突升，猛涨
characteristic,n. 特点
implication,n. 含义，暗示
measure,n. 分量 v. 测量
replacement,n. 代替
easygoing,adj. 脾气随和的，温和的
squeeze,v. 压，榨
exhibition,n. 展览
responsibility,n. 责任
enhance,v. 提高
retain,v. 保留,留用
convey,v. 传达，传递
regulation,n. 管理
integrity,n. 完整
combine,v. 联合，结合
impermanency,n. 非永久性
catalogue,v. 把……编入目录
council,n. 议会
prepare,v. 做准备
inquiry,n. 询问
tension,n. 紧张
prompt,adj. 迅速的
attendance,n. 出席人数
retail,n. 零售 v. 零售
image,n. 形象，声誉，
quantity,n. 量，数量
inspector,n. 检查员
endurance,n. 耐力
simplify,v. 简化
range,n. 范围 v. 在范围内变化
accomplish,v. 完成
treatment,n. 治疗
spare,adj. 空闲的
welfare,n. 幸福
boost,n. 推动 v. 促使，促进
consciousness,n. 意识
patiently,adv. 耐心地
decent,adj. 正派的，体面的
review,n. 回顾 v. 复习
considerable,adj. 相当大(或多)的
misguide,v. 误导
foundation,n. 地基
postgraduate,n. 研究生
prevail,v. 流行，盛行
solid,adj. 扎实的，坚实的
counsel,v. 忠告，建议
maximum,n. 最大值，最大量 a. 最大值的，最大量的
abstract,adj. 抽象的
realistic,adj. 现实的，实际的
ban,v. 禁止
ashamed,adj. 羞耻的
solve,v. 解决
reinforce,v. 加强，强化
applicant,n. 申请人
tuition,n. 学费
persistence,n. 坚持不懈
overcome,v. 战胜，克服
bride,n. 新娘
engagement,n. 婚约
household,n. 家庭，一家人
evaluate,v. 评价
saint,n. 圣人
delay,v. 推迟，延期
private,adj. 私人的
definition,n. 定义
influential,adj. 有影响力的
recommend,v. 推荐
frontier,n. 边境
concern,n. 重要的事情 v. 与…有关，关于
organ,n. 器官
cite,v. 引用
mechanism,n. 机制，机能
contest,n. 比赛
symptom,n. 症状
deadline,n. 最后期限
domination,n. 主导
figure,n. 人物
imply,v. 暗示
curiosity,n. 好奇心
induce,v. 引诱
acknowledge,v. 承认(…的权威)
gym,n. 体育馆，健身房
chef,n. 厨师
sensible,adj. 明智的
outline,n. 梗概，提纲，草稿，要点
react,v. 对……作出反应
committee,n. 委员会
civilian,n. 平民，百姓
domestic,adj. 国内的
complex,adj. 复杂的
locate,v. 位于，定位
tighten,v. 使变紧
physics,n. 物理，物理学
foothold,n. 立足处（攀登时脚踩的地方）
discharge,v. 释放
advanced,adj. 高级的
complicated,adj. 复杂的，难懂的
needy,adj. 贫穷的
stale,adj. 乏味的，没有新意的
casual,adj. 漫不经心的，随便的
conform,v. 相一致，遵守
recharge,v. 再充电
annually,adv. 每年，一年一次
frown,v. 皱眉
decline,v. 下降，减少
originate,v. 开始
prospect,n. 前景
curious,adj. 好奇的
incentive,n. 动机，刺激
virus,n. 病毒
cultivate,v. 培养， 养成
potential,n. 潜力 adj. 有可能的
reluctant,adj. 不愿意的，勉强的
miserable,adj. 痛苦的
persuasion,n. 劝说
competitiveness,n. 竞争力
restriction,n. 限制，限定
minor,adj. 小的
grain,n. 谷物，粮食
rate,n. 比率，速率
radically,adv. 完全地，彻底地
distinct,adj. 明显的
equality,n. 平等
hardworking,adj. 苦干的，不辞辛劳的
qualification,n. 资格(证明)，合格证书
bacteria,n. 细菌
corporate,adj. 团体的
undermine,v. 逐渐削弱
selfish,adj. 自私的
cater,v. 迎合
survival,n. 幸存
favor,v. 偏好, 较喜欢
conflict,v. 冲突
client,n. 客户
garage,n. 车库
fatigue,n. 疲劳，疲乏
plant,n. 工厂
endanger,v. 危及，危害，濒临危险
operation,n. 手术
handle,v. 处理
laborious,adj. 费力的
passion,n. 热情，激情
cooperative,adj. 合作的
inflate,v. (使)膨胀
resourceful,adj. 机智的
exaggerate,v. 夸张
loan,n. 贷款
vocabulary,n. 词汇
illustrate,v. 说明,阐明
overflow,v. 溢出，淹没
fantasize,v. 想象，幻想
amusing,adj. 有趣的，好玩儿的
universal,adj. 宇宙的，全世界的
generate,v. 产生
schedule,n. 日程表
backslide,v. 倒退，退步
particle,n. 微粒
menu,n. 菜单
reward,n. 报答，奖赏 v. 报答，奖赏
reproduce,v. 复制
worsen,v. （使）变得更坏
feedback,n. 反馈
equivalent,adj. 相等的，相当的
resign,v. 辞职
motivate,v. 促动，激发，诱导
compel,v. 强迫
revise,v. 修订
dampen,v. 抑制
prosperity,n. 繁荣
flow,n. 流动 v. 流动
humanity,n. 人类〔总称〕
sideways,adv. 向侧面
pursue,v. 追求
innovate,v. 创新，革新
mill,n. 工厂
promotional,adj. 促销的
dump,v. 扔下，倾倒
resist,v. 抵抗，抗拒
source,n. 来源
legal,adj. 法律的
picky,adj. 挑剔的
steal,v. 偷窃
despite,prep. 尽管
explosion,n. 爆炸
gap,n. 缝隙，缺口
relevant,adj. 有关的，切题的
ignore,v. 忽视，不顾
complete,v. 完成 adj. 完整的，彻底的
sufficient,adj. 足够的
switch,v. 转变，改变
request,n. 要求
stereotype,n. 老套，固定模式
couple,n. 夫妻，情侣
honesty,n. 诚实
transportation,n. 运输
physical,adj. 身体上的
screen,v. 筛查
divine,adj. 神圣的
guideline,n. 指导原则
revolution,n. 革命
interruption,n. 打扰
dishwasher,n. 洗碗机
promising,adj. 有希望的，有前途的
vary,v. 不同
permanent,adj. 永久的
manufacture,v. 制造，生产
fussy,adj. 爱挑剔的
dictate,v. 命令，规定 n. 命令，规定
professional,adj. 专业的
prosper,v. 繁荣
exchange,n. 交换，交流 v. 交换，交流
concentration,n. 集中
gesture,n. 手势，姿势
deliberate,adj. 故意的
contribution,n. 贡献
bless,v. 保佑，祝福
detective,n. 侦探
evident,adj. 明显的
retreat,v. 退避，后退
responsible,adj. 负责的，有责任的
identity,n. 身份
statistics,n. 统计学
appreciate,v. 感激
insult,v. 侮辱
neglect,v. 疏忽
primarily,adv. 主要地，首先
long,v. 渴望
incline,v. 倾向于
asset,n. 有价值的人(或物)资产
overtake,v. 超车
extension,n. 分机
engine,n. 引擎，发动机
emphasize,v. 强调
genuine,adj. 真正的
fascination,n. 魅力
lodge,v. 住宿，暂住
cheat,v. 欺骗, 作弊
security,n. 安全，安保
painful,adj. 痛苦的，疼痛的，令人不快的
emerge,v. 出现
instance,n. 情况，例子
steep,adj. 陡峭的
rigorous,adj. 严格的
persuade,v. 说服
procedure,n. 程序
signature,n. 签名
surpass,v. 超过
campaign,n. 活动
advance,n. 提前 v. 前进
charity,n. 慈善机构
average,adj. 平常的
indispensable,adj. 必不可少的
irrationally,adv. 不合理地，无理性地
accompany,v. 陪伴
aviation,n. 航空
distress,v. 使痛苦，悲痛
invariably,adv. 不变地，一直
invest,v. 投资
approximately,adv. 大约
conservation,n. 保护，保存
ease,n. 轻松，舒适
extracurricular,adj. 课外的
undoubtedly,adv. 无疑
excellent,adj. 卓越的，杰出的，极好的
investigate,v. 调查
judgement,n. 判断，决定
struggle,v. 搏斗
prohibitively,adv. 过分地，非常地
military,adj. 军队的，军事的
consequently,adv. 结果
suffer,v. 受苦
visible,adj. 看得见的
swift,adj. 迅速的
battle,n. 战争，战役
liability,n. 责任
resistant,adj. 抵抗的
nutritious,adj. 营养的
constantly,adv. 不断地，时常地
familiar,adj. 熟悉的
terribly,adv. 可怕地，非常
restore,v. 修复
refine,v. 改善
inspire,v. 激发
comply,v. 遵从
justice,n. 公正
district,n. 区
installation,n. 安装
marvelous,adj. 引起惊异的
provoke,v. 激起，挑起
lobby,n. 大堂 v. 游说
interview,n. 面谈（试）
release,v. 释放
explore,v. 探索
profound,adj. 深厚的
exploit,v. 开采
startup,n. 启动，开办
constructive,adj. 建设的，建设性的
unbearable,adj. 无法忍受的
laundry,n. 要洗的衣服
seize,v. 抓住
poison,v. 使中毒
bakery,n. 面包店
tent,n. 帐篷
wedding,n. 婚礼
fair,n. 集市
geographic,adj. 地理的
comprehensive,adj. 综合的，全面的
riot,n. 暴乱
conspicuous,adj. 显著地
block,v. 阻碍 n. 街区
acute,adj. 敏锐的
endure,v. 忍耐
assembly,n. 装配
opponent,n. 对手
confront,v. 面对
stir,v. 搅动
rocket,n. 火箭 v. 猛增
attribute,v. 归因于
sentence,n. 判决 v. 判决
tempting,adj. 诱人的，吸引人的
commitment,n. 承诺，保证
feasible,adj. 可行的
outcome,n. 结果
diligent,adj. 勤奋的
deprive,v. 剥夺，夺去，使丧失
grid,n. 输电网
distribute,v. 分发
destruction,n. 破坏
divide,v. 分开
highlight,v. 突出
justify,v. 证明……正当
announce,v. 宣布，声称
proposal,n. 提议
advisory,n. 报告，警告
mystery,n. 迷，神秘的事物
punctual,adj. 准时的
derive,v. 得到，导出
harmony,n. 和谐
unwilling,adj. 不愿意的
view,v. 看待
financial,adj. 财政的，经济的
priority,n. 优先，优先权
impermanent,adj. 非永久（性）的
symbolize,v. 象征
bankrupt,adj. 破产的，倒闭的
intake,n. 摄入
addiction,n. 上瘾
productive,adj. 富有成效的
admire,v. 钦佩，称赞
reflect,v. 反映
underline,v. 强调
representative,n. 代表
blame,v. 指责，责怪
retrain,v. 再教育
tasteless,adj. 无味的
excessive,adj. 过度的
dishonest,adj. 不诚实的
caution,n. 小心，谨慎 v. 警告，告诫
glorious,adj. 辉煌的
pointless,adj. 无意义的
significant,adj. 重要的
mutual,adj. 相互的
temptation,n. 诱惑，引诱
passive,adj. 被动的
evolve,v. 使发展
treasure,v. 珍爱
shock,v. 感到震惊
disservice,n. 伤害，帮倒忙
ambitious,adj. 有雄心的，野心勃勃的
fancy,adj. 华丽的
accumulate,v. 积累，增加
fuss,n. 大惊小怪
ultimately,adv. 最后，最终
showmanship,n. 主持演出的技巧
cancel,v. 取消
regulate,v. 管理
peer,n. 同龄人
calculate,v. 计算
virtually,adv. 几乎，差不多
accustom,v. 使习惯
retailer,n. 零售商
programmer,n. 程序设计员
advice,n. 建议
admiration,n. 钦佩，称赞
courageous,adj. 有勇气的
respectful,adj. 有礼貌的，尊重的
makeup,n. 化妆品
reservation,n. 预定
apply,v. 申请
demonstrate,v. 证明
generation,n. 一代人
chat,v. 聊天
ancient,adj. 古代的
evil,n. 邪恶，罪恶
indifferent,adj. 冷漠的
namely,adv. 即，也就是
effect,n. 影响
devote,v. 奉献，致力于
appointment,n. 约会
appoint,v. 任命，委派
resemble,v. 像，相似
assemble,v. 集合
expressiveness,n. 表达
visibility,n. 能见度
distracted,adj. 分心的
debt,n. 债务
substitute,n. 代替者 v. 代替
insecure,adj. 不安全的
chap,n. 小伙子，小家伙，家伙
selective,adj. 选择的,精选的
compensation,n. 弥补，补偿
dilemma,n. 困境
foreseeable,adj. 可以预见的
inadequacy,n. 不足
guarantee,v. 担保 n. 保证，担保
discrimination,n. 歧视
intense,adj. 强烈的
facilitate,v. 使便利，促进
mislead,v. 误导
reassess,v. 重新评估
response,n. 反应
essay,n. 散文，文章
stimulate,v. 刺激
dessert,n. 甜点
peaceful,adj. 平静的
regularly,adv. 定期地，有规律地
fascinate,v. 强烈地吸引，迷住
durability,n. 持久
discover,v. 发现
constitute,v. 组成
administrative,adj. 管理的
tremble,v. 颤抖
ignorant,adj. 无知的
decorate,v. 装饰
acquire,v. 获得
annual,adj. 每年的
due,adj. 到期的
