word,definition
regardless,adv. 不管，不顾
pause,n. 暂停，迟疑
launch,v. 发布，推出
apartment,n. 公寓
spark,n. 火花
eliminate,v. 消除
unintentionally,adv. 无意地
opposition,n. 反对
polar,adj. 极地的
integral,adj. 必需的，不可缺少的
guard,v. 保护
branch,n. 分支，分公司
affiliate,v. 使隶属于
irrigation,n. 灌溉
stove,n. 炉子
memorable,adj. 值得纪念的
elimination,n. 消除，淘汰
revenue,n. 收入
decisive,adj. 决定性的
displace,v. 取代
violation,n. 违反
ideological,adj. 意识形态的
neighborhood,n. 附近
calorie,n. 卡路里
fierce,adj. 激烈的
mention,v. 提及
extend,v. 延伸
column,n. 专栏
analytical,adj. 分析的
figure,n. 数字
frighten,v. 使害怕
preindustrial,adj. 工业化以前的
furnish,v. 提供
scarcity,n. 缺乏
transform,v. 转变
misled,v. (mislead过去式)误导
intervene,v. 干涉
vary,v. 变化
bureaucracy,n. 官僚主义
recruiter,n. 招聘者
pattern,n. 模式
necessity,n. 必须，必要性
deny,v. 否认
drift,v. 漂流
endorsement,n. 支持
dare,v. 勇敢，敢于做
consultancy,n. 咨询公司
constant,adj. 不断的
deposit,v. 存放 n. 存款
transmit,v. 传播，传导
undermine,v. 削弱
resign,v. 辞职
respective,adj. 各自的
consent,n. 同意
reunion,n. 团聚
premium,n. 〔尤指每年缴付的〕保险费
interpretation,n. 解释，理解
concrete,adj. 具体的
facility,n. 设施
convert,v. 转换，改变
prompt,v. 促使
weave,v. 织布，编织
conformity,n. 一致
inaction,n. 不作为
trim,v. 修剪
irony,n. 讽刺
monopolize,v. 垄断
workload,n. 工作量
complicated,adj. 复杂的
property,n. 财产
underrepresented,adj. 未被充分代表的
philosophy,n. 哲学
regime,n. 制度，管理体制
bizarre,adj. 古怪的
ruin,v. 毁坏
inspire,v. 鼓励
deforestation,n. 砍伐森林
exceptional,adj. 例外的
hazard,n. 危险
upgrade,v. 升级
abnormally,adv. 不正常地
accidentally,adv. 偶然地，意外地
frontier,n. 边境
considerable,adj. 相当多的
legalize,v. 合法化
dispensable,adj. 可有可无的
certify,v. 保证，证明
insurer,n. 保险公司
overstate,v. 夸张
profound,adj. 深刻的
agony,n. 痛苦
craft,n. 手艺 v. 精巧地制作
obscurity,n. 默默无闻
guarantee,v. 保证
dolphin,n. 海豚
severity,n. 严重性
discourage,v. 阻止
fault,n. 过失
robbery,n. 抢劫
inanimate,adj. 无生命的
calculation,n. 计算
baffle,v. 使迷惑，困惑
overcharge,v. 多收钱
nap,n. 小睡
disposal,n. 处理
authorities,n. 当局
chronicle,v. 记录
shade,v. 为…遮阳[挡光]，遮蔽〔光线〕
milestone,n. 里程碑
unstable,adj. 不稳定的
strain,n. 压力
municipal,adj. 市政府的
ideologically,adv. 意识形态上地
greedy,adj. 贪婪的
robust,adj. 强健的
diagnose,v. 诊断
definite,adj. 一定的，确切的
reserved,adj. 保留意见的
affection,n. 喜爱
material,n. 材料
conduct,v. 进行，实行
association,n. 联系
collide,v. 撞击，碰撞
industrious,adj. 勤奋的
fascinate,v. 使着迷
prevalence,n. 流行，普遍
exert,v. 施加
minor,adj. 次要的，小的
tempting,adj. 吸引人的
appropriation,n. 挪用
injustice,n. 不公正
irrelevant,adj. 无关的
registration,n. 注册，登记
democracy,n. 民主
grateful,adj. 感激的
offense,n. 冒犯
atmosphere,n. 气氛
approach,n. 方法
rival,n. 对手
commitment,n. 承诺
furious,adj. 生气的
accurate,adj. 精确的
abstract,adj. 抽象的
deprivation,n. 剥夺，匮乏
designate,v. 指定，委派
turtle,n. 海龟
expertise,n. 专业知识
vessel,n. 血管
ventilate,v. 使通风
trade-off,n. 权衡，交易
endless,adj. 无限的，没完没了的
temptation,n. 诱惑
legislation,n. 立法
duplication,n. 复制品
trick,n. 骗局，诡计
evaluation,n. 评价
abandonment,n. 放弃
turbulent,adj. 动荡的，骚乱的
expel,v. 开除，驱逐
carpenter,n. 木匠
hasty,adj. 匆忙的
unprecedented,adj. 史无前例的
extreme,adj. 极端的
outperform,v. 胜过
modernize,v. 现代化
interactive,adj. 〔人与计算机程序、电视系统等〕交互的，互动的
successively,adv. 接连着地，继续地
innovation,n. 创新，革新
elaborately,adv. 复杂地，精心设计地
vegetarian,n. 素食主义者
faculty,n. 〔大学的〕全体教员
render,v. 给予
portray,v. 描述
notion,n. 想法，观点
tropical,adj. 热带的
character,n. 角色
infectious,adj. 感染的，传染的
lawn,n. 草坪
permanent,adj. 永久的
transcend,v. 超越
kidnap,v. 绑架
dominate,v. 主导，主宰
stabilize,v. 使稳固，使安定
consult,v. 咨询
resume,n. 简历
migrate,v. 移民
isolation,n. 隔绝，隔离
derive,v. 获得
conservation,n. 保护
incidence,n. 发生率
perpetual,adj. 永久的
pessimistic,adj. 悲观的
crew,n. 机组人员
mourn,v. 哀悼
vice,n. 恶习
shot,n. 照相，照片
virus,n. 病毒
dorm,n. 宿舍
erupt,v. 爆发
impact,n. 影响
index,n. 指数
claim,v. 声称
embrace,v. 采纳，接受
enviable,adj. 值得羡慕的
blouse,n. 女衬衫
deliver,v. 递送
rhythm,n. 节奏
code,n. 代号，密码
monopoly,n. 垄断
interfere,adj. 干涉
contestant,n. 参赛者
ridiculous,adj. 滑稽的，可笑的
glamorous,adj. 有魅力的，迷人的
mall,n. 商场
chronically,adv. 慢性地
prolonged,adj. 长时间的
symptom,n. 症状
compelling,adj. 引人注目的
immensely,adv. 非常，极大地
species,n. 物种
battle,n. 激战，战役
conflict,n. 冲突
permeate,v. 渗透
erroneous,adj. 错误的
compartment,n. 车厢, 隔间
metropolitan,adj. 大都市的
grip,n. 抓住
crush,v. 压碎，压榨
prior,adj. 先前的
formula,n. 公式
inescapable,adj. 不可避免的
skeptical,adj. 怀疑的
harness,v. 利用，控制
destination,n. 目的地
vocational,adj. 职业的
density,n. 密度
variance,n. 不同
landmark,n. 地标
linger,v. 逗留，徘徊
luxurious,adj. 奢侈的，豪华的
astronomical,adj. 天文数字的
coordination,n. 协调
currency,n. 货币
blame,v. 谴责
dismiss,v. 解雇
testify,v. 作证
qualify,v. 使有资格
inquire,v. 询问
emphasize,v. 强调
overwhelming,adj. 压倒性的
flame,n. 火焰
imitate,v. 模仿
handle,n. 把手
drought,n. 干旱
drummer,n. 鼓手
revive,v. 复兴
vulnerable,adj. 脆弱的, 易受影响的
spot,n. 点
suppress,v. 镇压，压制
diminish,v. 减少
reconcile,v. 使一致
artificial,adj. 人造的
athletic,adj. 强壮的
confrontational,adj. 对抗的，有敌意的
row,v. 划船
navigate,v. 航行，驾驶
panic,n. 惊慌
hostile,adj. 有敌意的
console,v. 安慰
endanger,v. 使……危险
prospect,n. 前景
discern,v. 识别
judicial,adj. 司法的
impair,v. 损害
motel,n. 汽车旅馆
signal,v. 标志
therapy,n. 疗法
diverse,adj. 各种各样的
conserve,v. 保留，保护
adaptation,n. 改编版
resist,v. 抵制
convince,v. 使……相信
burden,n. 负担
payroll,n. 工资总额
unified,adj. 统一的
hasten,v. 加速
intertwine,v. 交织，纠缠
accommodate,v. 容纳
prescribe,v. 开处方
construction,n. 建筑
endure,v. 忍受
election,n. 选举
jury,n. 陪审团
glory,n. 光荣，荣誉
sew,v. 缝上，缝纫
sector,n. 部门
hazardous,adj. 危险的
deprive,v. 剥夺
generous,adj. 慷慨的
constrain,v. 限制
phenomenon,n. 现象
assume,v. 假定，认为
conscientious,adj. 有良心的，认真负责的
concession,n. 妥协
suspect,v. 怀疑 n. 嫌疑犯
sample,n. 样本，样品
penalty,n. 惩罚
representative,n. 代表
soothe,v. 安慰，减轻
entail,v. 使需要，使必须
objective,n. 目标，目的
submit,v. 提交
identify,v. 认出，识别
infect,v. 感染
burial,n. 埋葬
genius,n. 天才
submerge,v. 淹没
stereotype,n. 刻板印象，固有印象
clarify,v. 澄清，明确
conversion,n. 转变
resident,n. 居民
aspect,n. 方面
apologize,v. 道歉
decent,adj. 像样的
fixture,n. 固定装置
institution,n. 机构
scent,n. 香味
welfare,n. 幸福
subsidy,n. 补助
superficial,adj. 表面的
private,adj. 私人的
conventional,adj. 传统的
wonder,v. 想知道，好奇
tedious,adj. 冗长的
subordinate,adj. 从属的
frame,v. 制定，拟定〔计划、体制等〕
smuggle,v. 走私
reimbursement,n. 返还费用
disappear,v. 消失
inhale,v. 吸入
majority,n. 大多数
memorize,v. 熟记
cumulative,adj. 积累的
trap,v. 捕捉
lofty,adj. 高耸的
clarity,n. 清晰，清楚
interact,v. 互动
refine,v. 提炼
confer,v. 授予
anonymous,adj. 匿名的
commentator,n. 评论员
keen,adj. 敏锐的
enforce,v. 强迫，迫使
grocery,n. 杂货店
spread,v. 传播，扩散
recruit,v. 招聘
justified,adj. 正当的
eccentric,adj. 古怪的
bridge,v. 架桥于…之上
neglect,v. 疏忽
principle,n. 道德原则
stain,n. 污渍，污点
encourage,v. 鼓励
convincing,adj. 令人信服的
indiscriminately,adv. 不加选择地，不加区分地
resolute,adj. 坚定的
indicative,adj. 指示的
perish,v. 死亡
philosopher,n. 哲学家
recipe,n. 食谱
excessive,adj. 过度的
rigor,n. 严格，严谨
deficient,adj. 不足的，缺乏的
incompetence,n. 无能
entitle,v. 使具有资格
adventurer,n. 冒险者
quicken,v. 加快
divert,v. 使转向
recommend,v. 推荐
incalculable,adj. 不可估量的，无法计算的
outcome,n. 结果
scaffolding,n. 脚手架
garage,n. 车库
domestic,adj. 国内的
cultivate,v. 培养
formulate,v. 制定，规划
shed,v. 洒 (热血)
worldwide,adv. 世界范围地，全世界
fuss,n. 小题大做
contention,n. 争论
hijack,v. 劫持
dweller,n. 居住者
buck,v. 反对 n. 美元
view,v. 看待
pronoun,n. 代词
contribution,n. 贡献
undecided,adj. 不确定的
restrict,v. 限制
reverse,adj. 相反的
grasp,v. 理解
provoke,v. 激怒
texture,n. 质地
publicity,n. 宣传
format,n. 形式
indifferent,adj. 冷漠的
incentive,n. 刺激
prejudice,n. 偏见
assumption,n. 假设
habitual,adj. 习惯的
sculpture,n. 雕塑
responsibility,n. 责任
manuscript,n. 手稿
duplicate,n. 副本，复制品
ecosystem,n. 生态系统
humorous,adj. 幽默的
contaminate,v. 污染，弄脏
orbit,n. 轨道
evolve,v. 进化
skyrocket,v. 猛增
portion,n. 部分
cautious,adj. 谨慎的
assassinate,v. 刺杀，暗杀
narrow,v. 变窄，缩小
botanical,adj. 植物学的
conquer,v. 征服
regain,v. 重新获得
composition,n. 作文
stress,v. 强调
yield,v. 产生
spectacle,n. 景象
host,v. 主持
release,v. 释放
malicious,adj. 恶毒的
prevailing,adj. 流行的
gratitude,n. 感激
mobility,n. 流动性
ascend,v. 上升
fake,n. 假货
inflation,n. 通货膨胀
plot,n. 情节
manufacture,v. 生产，制造
criticism,n. 批评
outsource,v. 外包
obstacle,n. 阻碍
appreciative,adj. 表示赞赏的，感谢的
predominantly,adv. 占主导地位地
invasion,n. 入侵
detect,v. 发现
addict,n. 吸毒上瘾者
slash,v. 猛削，劈，砍
cognitive,adj. 认知的
extinguish,v. 熄灭
disadvantage,n. 缺点，不利条件
alien,adj. 陌生的
barely,adv. 几乎不，仅仅
simulate,v. 模拟，模仿
prospective,adj. 预期的
interaction,n. 相互影响，相互作用
materialize,v. 实现
contribute,v. 有助于，促成
dishonest,adj. 不诚实的
appeal,n. 请求，呼吁,
applicant,n. 申请者
intelligent,adj. 聪明的
spacious,adj. 宽敞的
fatal,adj. 致命的
counselor,n. 咨询顾问
potential,adj. 潜在的 n. 潜力
assimilate,v. 同化
cropland,n. 农田
relieved,adj. 轻松的，缓解的
compel,v. 强迫
program,v. 计划，安排
capacity,n. 能力
orient,v. 使确定方向
undertaking,n. 任务，事情
shift,v. 转移注意力
liberation,n. 解放
utterly,adv. 完全地，彻底地
immense,adj. 巨大的
inferior,adj. 比……差
accrue,v. 积累
genuine,adj. 真的
nominate,v. 提名
distinctive,adj. 与众不同的
mismanagement,n. 管理不当
reckon,v. 认为，评价
mask,n. 面具 v. 掩饰，掩盖
forge,v. 伪造
identical,adj. 相同的
imperial,adj. 帝国的
target,n. 目标 v. 把…作为目标
disconnect,v. 断开
immigrant,n. 移民
unqualified,adj. 不合格的，不胜任的
edit,v. 编校
govern,v. 管理
assert,v. 主张，断言
breezy,adj. 轻松愉快的
hesitate,v. 犹豫
presidency,n. 总统任期
quota,n. 配额
dropout,n. 辍学学生
capture,v. 逮捕
integrity,n. 正直
flee,v. 离开
certification,n. 证书
instant,adj. 立即的
criminal,adj. 犯罪的 n. 罪犯
clue,n. 线索
arrogant,adj. 傲慢无礼的
elevate,v. 提升
expansion,n. 扩张
authority,n. 权威
publicize,v. 宣传
reflective,adj. 反映的，反射的
quantity,n. 数量
acutely,adv. 强烈地
isolate,v. 使隔离
vigorous,adj. 积极的
counsel,v. 建议，忠告
vivid,adj. 生动的
hostility,n. 敌意
collaborate,v. 合作
consultation,n. 商议
transition,n. 过渡
deteriorate,v. 恶化
pasture,n. 牧场
eyewitness,n. 目击者
trait,n. 特点
anticipate,v. 期望，预期
numerous,adj. 无数的
combination,n. 组合，结合
slightly,adv. 轻微地
dividend,n. 分红，红利
minimal,adj. 最低的，最小限度的
derail,v. 脱轨
barrier,n. 障碍，阻碍
ingenuity,n. 创造力
bribe,v. 贿赂
guesstimate,n. 大概估计，瞎猜估计
negotiation,n. 协商
hardship,n. 艰难
badge,n. 标记, 徽章
compromise,v. 妥协
excess,n. 过量，过度
descendant,n. 子孙后代
fulfill,v. 实现
collective,adj. 共同的
amend,v. 修订
tangled,adj. 纠缠的
qualification,n. 资格
recall,v. 回忆起，想起
adopt,v. 采纳
tasteless,adj. 没有味道的
drown,v. 溺水
tragedy,n. 悲剧
circulation,n. 发行量
grand,adj. 壮丽的，极好的
inadequate,adj. 不足的
household,n. 家庭，一家人
authorization,n. 授权
auxiliary,adj. 辅助的
adverse,adj. 不利的
descriptive,adj. 描写的，描述的
trace,v. 追踪
bloom,v. 开花，茂盛
evaluate,v. 评价
humanistic,adj. 人文的
cozy,adj. 舒适的
plough,n. 犁
melt,v. 融化
lest,conj. 以免
ready,adj. 乐意的，愿意的
formidable,adj. 可怕的
feasible,adj. 可行的
regarding,prep. 关于
needle,n. 指针
dimension,n. 尺寸
specialize,v. 专业从事
overturn,v. 推翻
shrank,v. 收缩(shrink过去式)
adversely,adv. 不利地
check,v. 检查
testimony,n. 证词
rigorous,adj. 严格的
privileged,adj. 有特权的
expectation,n. 期望
bias,n. 偏见
lawsuit,n. 诉讼
eloquent,adj. 口才好的，雄辩的
shrink,v. 缩减，缩小
regulation,n. 规则
alternative,n. 代替品
moist,adj. 潮湿的
surpass,v. 超过
fabric,n. 布料
distinction,n. 区分
eradicate,v. 根除
brilliant,adj. 才华横溢的
redefine,v. 重新定义
arm,v. 装备，武装
intensely,adv. 强烈地
desperate,adj. 绝望的，不顾一切的
sexism,n. 性别歧视
bruise,v. 使碰伤，擦伤
prominent,adj. 卓越的
comprehensive,adj. 综合的，全面的
forecast,n. 预报，预测
champion,v. 支持，拥护
specification,n. 说明
layout,n. 布局，设计
rally,n. 集会
romantic,adj. 爱情的
deviate,v. 偏离
insufficient,adj. 不足的
boost,v. 提高
scandal,n. 丑闻
confine,v. 限制
conspicuous,adj. 显著的
significant,adj. 重要的
fresh,adj. 新颖的，新奇的
indulge,v. 放纵
instinctively,adv. 本能地
complement,n. 补充
content,adj. 满意的
squalor,n. 肮脏
fatigue,n. 疲惫
awesome,adj. 令人敬畏的,令人赞叹的
responsive,adj. 灵敏的，反应的
echo,v. 随声附和，发出回声
division,n. 分歧
gender,n. 性别
correlation,n. 相关，关联
casualty,n. 伤亡人数
appropriate,adj. 适当的
subtle,adj. 微妙的
critical,adj. 批评的
alternatively,adv. 二选一地
intimate,adj. 亲密的
disengagement,n. 分离
lounge,n. 休息室
gesture,n. 姿势，手势
script,n. 脚本，剧本
prestige,n. 名声，声望
awkward,adj. 尴尬的
entrepreneur,n. 企业家
automatic,adj. 自动的
thrive,v. 繁荣，兴旺
enrich,v. 丰富，使富裕
chew,v. 咀嚼
vehicle,n. 车辆
intriguing,adj. 有趣的
segregation,n. 隔离
hurl,v. 猛投
hatch,v. 孵化
disservice,n. 危害
variation,n. 变化
enormous,adj. 巨大的
scare,n. 恐吓，惊恐
alphabetical,adj. 按字母表顺序的
conclusive,adj. 得出结论的
epidemic,n. 流行病
solid,adj. 坚实的
clause,n. 条款
attendant,n. 服务人员
collapse,v. 坍塌，崩塌
dispatch,v. 发送，派遣
shrug,v. 耸肩
redundant,adj. 失业的，被解雇的
alert,adj. 机警的 v. 提醒
deficit,n. 赤字
restructure,v. 调整，重建
tap,v. 轻敲
simultaneous,adj. 同步的
arise,v. 出现
wildlife,n. 野生动物
overwhelm,v. 压倒，战胜
motivation,n. 动力，积极性
delicate,adj. 细微的
remarkable,adj. 显著的，杰出的
slavery,n. 奴隶制度
untreated,adj. 未经处理的
suspicious,adj. 怀疑的
ancient,adj. 古代的
distort,v. 歪曲
skip,v. 跳过
wishful,adj. 一厢情愿的
entrepreneurship,n. 企业管理
bride,n. 新娘
unfold,v. 展开
interference,n. 干涉
assault,n. 攻击
shareholder,n. 股东
breakthrough,n. 突破性进展
footnote,n. 注脚
applicable,adj. 可应用的
controversial,adj. 受到争议的
inherit,v. 继承
facilitate,v. 使便利
manifest,v. 表明
fiscal,adj. 财政的
gown,n. 长袍
rate,n. 费用
mortality,n. 死亡率
decline,v. 拒绝
mournful,adj. 悲哀的
paradox,n. 悖论
simultaneously,adv. 同步地，同时地
strategy,n. 策略
literacy,n. 识字， 有文化
apathy,n. 冷漠
boom,n. 繁荣
oblige,v. 迫使
incompatibility,n. 不兼容
commerce,n. 商业
attribute,v. 归因于
cafeteria,n. 自助餐厅
cripple,n. 残疾，跛子
shuttle,n. 航天飞机
nightmare,n. 噩梦
startle,v. 使惊讶
debris,n. 残骸，碎片
assemble,v. 收集，组装
perception,n. 看法
coastal,adj. 海滨的
desert,v. 放弃，抛弃
peer,n. 同龄人
embody,v. 体现
sympathetic,adj. 同情的
backup,n. 后补，援助
notably,adv. 显著地，尤其
exploit,v. 开发，开采
poetry,n. 诗歌
discriminate,v. 歧视
readjust,v. 重新调整，再调整
slight,adj. 轻微的
strip,n. 狭长的一块
tackle,v. 解决，处理
steady,adj. 稳定的
minority,n. 少数，少数民族
aspirational,adj. 渴望成功的的
discipline,n. 训练，管教
threshold,n. 门槛
soar,v. 高飞
uneven,adj. 不均衡的
crucial,adj. 关键的
athletics,n. 体育运动
needy,adj. 贫穷的
enthusiastic,adj. 热情的
trigger,v. 引发，引起
essential,adj. 必须的
agenda,n. 议程
owe,v. 欠钱
justice,n. 公平
donor,n. 捐赠者
convict,v. 证明……有罪
underestimate,v. 低估
flat,adj. 平的 n. 公寓
confidential,adj. 机密的
unexpected,adj. 意想不到的
vitamin,n. 维他命
jeopardize,v. 危害，危及
disproportionately,adv. 比例不均地，不成比例地
bacteria,n. 细菌
achieve,v. 达到，实现
bump,v. 颠簸
existence,n. 存在
sweep,v. 扫除，清除
shrewd,adj. 精明的
illuminate,v. 阐释，阐明
realm,n. 领域，方面
blueprint,n. 蓝图，设计图
pension,n. 养老金
administration,n. 管理
track,v. 追踪 n. 轨迹，踪迹
ponder,v. 仔细考虑
paradise,n. 天堂
ethnic,adj. 种族的
accelerate,v. 加速
bitter,adj. 痛苦的
ambition,n. 野心，报复
confess,v. 承认
extent,n. 程度
accountant,n. 会计
sheer,adj. 纯粹的
deliberate,adj. 故意的
pave,v. 铺路
measure,n. 措施
potentially,adv. 潜在地
remove,v. 消除，移除
allergic,adj. 过敏的
available,adj. 可获得的，可利用的
initial,adj. 初步的，最初的
consensus,n. 共识，一致
opponent,n. 反对者
modify,v. 改变
signify,v. 表明，象征
accumulate,v. 积累
mining,n. 采矿业
violent,adj. 暴力的
adversity,n. 逆境
dynamics,n. 动力学
chaos,n. 混乱
persistent,adj. 持续的
ritual,n. 仪式
criteria,n. 标准
impose,v. 强加于
untiring,adj. 不知疲倦的
contrary,adj. 相反的
nutritious,adj. 有营养的
anxiety,n. 焦虑
rewarding,adj. 有意义的
straightforward,adj. 直接的
descent,n. 血统, 后裔
hospitality,n. 友好
stuff,n. 材料，东西
reflect,v. 反映
carpentry,n. 木工活
decode,v. 解码
flaw,n. 缺点，瑕疵
reveal,v. 揭露
tutor,v. 辅导
accustom,v. 使习惯
acquaintance,n. 熟人
distribution,n. 分布，分配
trend,n. 趋势
irritate,v. 激怒
intrinsic,adj. 本质的，固有的
deem,v. 认为
arouse,v. 唤起
suburban,adj. 郊区的
pursue,v. 追求
ideology,n. 意识形态
layman,n. 门外汉
instantaneous,adj. 即时的，瞬间的
seasick,adj. 晕船的
lack,v. 缺少
exaggerate,v. 夸张
magnify,v. 放大
utilization,n. 利用
twist,v. 扭曲
expedition,n. 探险，远征
switch,v. 转换
inheritance,n. 继承
sponsor,v. 赞助 n. 赞助商
deterioration,n. 恶化，退化
ongoing,adj. 持续的，不间断的
refreshing,adj. 新鲜的
incidentally,adv. 顺便地，附带
imprison,v. 监禁
present,v. 呈现，给予
uninformed,adj. 无知的，未受过教育的
overlap,v. 重叠
slim,adj. 苗条的
urban,adj. 城市的，都市的
rank,v. 排列
untrustworthy,adj. 不值得信任的，怀疑的
Automatically,adv. 自动地
accountable,adj. 应负责的，有责任的
collaborative,adj. 合作的
practice,n. 做法
diligence,n. 勤奋
victim,n. 受害者
urge,v. 催促
fertility,n. 多产，肥沃
foundation,n. 基金会
reception,n. 接待
elite,n. 精英
suicide,n. 自杀
incompetent,adj. 无能力的，不胜任的
tremendous,adj. 巨大的
recyclable,adj. 可回收利用的
visualize,v. 想象
exertion,n. 运用
slack,adj. 疲软的，萧条的
rigid,adj. 严格的
organic,adj. 有机的
reproduction,n. 繁殖
strap,v. 用带绑住
precision,n. 精确性
standardize,v. 标准化
aptly,adv. 适当地
promotion,n. 促销
paralyze,v. 瘫痪，麻痹
degeneration,n. 退化，变质
refrain,v. 抑制，避免
flavor,n. 口味
adventure,n. 冒险
agonize,v. 使痛苦
mount,v. 增加
oppose,v. 反对
justifiable,adj. 理所应当的
promote,v. 促进
renewable,adj. 可再生的
hypothesis,n. 假设，假说
presentation,n. 展示
cater,v. 迎合
unbiased,adj. 公正的
immersive,adj. 沉浸的，身临其境的
domain,n. 领域
primitive,adj. 原始的
urgent,adj. 急迫的
threaten,v. 威胁
throne,n. 王位
underfunded,adj. 资金不足的
jail,n. 监狱
assessment,n. 评估，评价
frustrate,v. 使挫败，使沮丧
abolition,n. 废除
detective,n. 侦探
skyscraper,n. 摩天大楼
corruption,n. 腐败
intolerant,adj. 无法容忍的
pierce,v. 刺穿
compensate,v. 弥补
gap,n. 差距
worship,v. 崇拜，喜爱
gallery,n. 美术馆
coach,n. 教练
cancel,v. 取消
strike,n. 罢工
rebellion,n. 叛逆
distract,v. 分心，分散注意
imperative,adj. 必须的,必要的
geology,n. 地质学
sway,v. 影响
costume,n. 服装
manual,adj. 手工的
quantifiable,adj. 可量化的
expenditure,n. 费用，花销
breed,v. 繁殖
emerge,v. 出现
noted,adj. 著名的
position,v. 安放 n. 位置
extinction,n. 灭绝
receptionist,n. 接待员
reckless,adj. 鲁莽的
abuse,n. 虐待 v. 滥用
accuse,v. 指控
biochemistry,n. 生物化学
optimism,n. 乐观
predict,v. 预测
notoriously,adv. 臭名昭著地
board,n. 董事会
pose,v. 形成
memorandum,n. 备忘录
puzzling,adj. 迷惑的，困扰的
reliable,adj. 可靠的
replacement,n. 代替
reinforce,v. 增强，强化
impart,v. 传授，教授
diversity,n. 多样性
occupation,n. 职业
intense,adj. 激烈的，强烈的
dramatically,adv. 大幅度地
awareness,n. 意识
virtually,adv. 几乎
maturity,n. 成熟
rare,adj. 罕见的，稀少的
curb,v. 限制，控制
favor,v. 恩惠
productivity,n. 生产力
mechanism,n. 机制
helicopter,n. 直升飞机
validity,n. 有效性
relevant,adj. 相关的
miracle,n. 奇迹
fertilizer,n. 肥料
shady,adj. 阴凉的
poll,n. 民意测验
countermeasure,n. 对策
worldly,adj. 世间的，尘世的
legislator,n. 立法者
campaign,n. 活动
odds,n. 可能性
shepherd,v. 引导，带领
schedule,n. 计划表
access,v. 取得，获取
owl,n. 猫头鹰
interpret,v. 口译
intervention,n. 干涉
bemoan,v. 抱怨
determine,v. 决定
incur,v. 引起，导致
literal,adj. 字面的
proposition,n. 提议，主题
feasibility,n. 可行
destructive,adj. 破坏性的，毁灭性的
denationalize,v. 使非国有化
resort,n. 度假胜地
engage,v. 忙于，从事
disarm,v. 解除，消除
approximately,adv. 大约
cover,v. 遮盖，遮蔽
validation,n. 证实
widespread,adj. 广泛传播的
unethical,adj. 不道德的
withdraw,v. 撤销，撤退
relay,v. 接替，转播
fluently,adv. 流利地
mysteriously,adv. 神秘地
hinder,v. 阻碍
session,n. 会议
postdoctoral,adj. 博士后的
prioritize,v. 优先
bipartisan,adj. 两党的
reluctance,n. 勉强，不情愿
intuitive,adj. 直觉的
quote,v. 引用
pragmatic,adj. 务实的，讲求实际的
alleviate,v. 减轻，缓解
underlying,adj. 潜在的，基础的
generate,v. 产生
dysfunction,n. 失常
invasive,adj. 入侵的
ignore,v. 忽视
specific,adj. 具体的
elegant,adj. 高雅的，雅致的
capital,adj. 资金的，资本的
indicate,v. 表明
eligible,adj. 适合的
procedure,n. 程序
unrealistic,adj. 不现实的
occur,v. 发生
aggravate,v. 加重，加剧
frankly,adv. 坦率地
